unique_key,cas_number,smiles,is_complex_mixture,match_method,mw,xlogp
E332I,866-83-1,C(C(=O)O)C(CC(=O)[O-])(C(=O)O)O.[K+],False,Match (Monopotassium citrate),230.21,
E332II,Unknown,,True,No Match,,
E333,813-94-5,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Ca+2].[Ca+2].[Ca+2],False,Match (Calcium citrates),498.4,
E333I,Unknown,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)O)O.[Ca+2],False,Match (Monocalciumcitrat),230.19,
E333II,Unknown,,True,No Match,,
E333III,Unknown,,True,No Match,,
E334,87-69-4,[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,False,Match (L-tartaric acid),150.09,-1.9
E335,Unknown,,True,No Match,,
E335I,526-94-3,[C@@H]([C@H](C(=O)[O-])O)(C(=O)O)O.[Na+],False,Match (Monosodium tartrate),172.07,
E335II,Unknown,,True,No Match,,
E336,868-14-4,[C@@H]([C@H](C(=O)[O-])O)(C(=O)O)O.[K+],False,Match (E336),188.18,
E336I,868-14-4,[C@@H]([C@H](C(=O)[O-])O)(C(=O)O)O.[K+],False,Match (Monopotassium tartrate),188.18,
E336II,Unknown,,True,No Match,,
E337,304-59-6,[C@@H]([C@H](C(=O)[O-])O)(C(=O)[O-])O.[Na+].[K+],False,Match (Potassium sodium tartrate),210.16,
E338,7664-38-2,OP(=O)(O)O,False,Match (E338),97.995,-2.1
E339,7558-80-7,OP(=O)(O)[O-].[Na+],False,Match (E339),119.977,
E339I,7558-80-7,OP(=O)(O)[O-].[Na+],False,Match (Monosodium phosphate),119.977,
E339II,Unknown,,True,No Match,,
E339III,Unknown,,True,No Match,,
E340,Unknown,,True,No Match,,
E340I,7778-77-0,OP(=O)(O)[O-].[K+],False,Match (Monopotassium phosphate),136.086,
E340II,Unknown,,True,No Match,,
E340III,Unknown,,True,No Match,,
E341,7758-87-4,[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Ca+2].[Ca+2].[Ca+2],False,Match (Calciumphosphate),310.18,
E341I,Unknown,OP(=O)(O)O.OP(=O)(O)O.[Ca+2],False,Match (Superphosphate),236.07,
E341II,Unknown,,True,No Match,,
E341III,Unknown,,True,No Match,,
E342,7783-28-0,[NH4+].[NH4+].OP(=O)([O-])[O-],False,Match (Ammonium phosphate),132.06,
E343,10043-83-1,[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Mg+2].[Mg+2].[Mg+2],False,Match (Magnesiumphosphate),262.86,
E343I,Unknown,,True,No Match,,
E343II,Unknown,,True,No Match,,
E344,Unknown,,True,No Match,,
E345,144-23-0,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)O)O.[Mg+2],False,Match (E345),214.41,
E349,20261-05-6,C(C(C(=O)[O-])O)C(=O)[O-].[NH4+].[NH4+],False,Match (ammonium malate),168.15,
E350,676-46-0,C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+],False,Match (E350),178.05,
E350I,676-46-0,C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+],False,Match (Natriummalat),178.05,
E350II,Unknown,,True,No Match,,
E351,585-09-1,C(C(C(=O)[O-])O)C(=O)[O-].[K+].[K+],False,Match (Potassium malate),210.27,
E352,Unknown,,True,No Match,,
E352I,17482-42-7,C(C(C(=O)[O-])O)C(=O)[O-].[Ca+2],False,Match (Calcium malate),172.15,
E352II,Unknown,,True,No Match,,
E353,39469-81-3,C1(C(=O)OC(C(=O)O1)C(C(=O)O)O)C(C(=O)O)O,False,Match (Metatartaric acid),264.14,-1.1
E354,1296812-14-0,C(C(C(=O)[O-])O)(C(=O)[O-])O.[Ca+2],False,Match (Calciumtartrat),188.15,
E355,124-04-9,C(CCC(=O)O)CC(=O)O,False,Match (E355),146.14,0.1
E356,7486-38-6,C(CCC(=O)[O-])CC(=O)[O-].[Na+].[Na+],False,Match (E356),190.1,
E357,19147-16-1,C(CCC(=O)[O-])CC(=O)[O-].[K+].[K+],False,Match (Kaliumadipat),222.32,
E359,19090-60-9,C(CCC(=O)[O-])CC(=O)[O-].[NH4+].[NH4+],False,Match (ammonium adipate),180.2,
E363,110-15-6,C(CC(=O)O)C(=O)O,False,Match (E363),118.09,-0.6
E365,7704-73-6,C(=C/C(=O)[O-])\C(=O)O.[Na+],False,Match (E365),138.05,
E366,7704-72-5,C(=C/C(=O)[O-])\C(=O)[O-].[K+].[K+],False,Match (E366),192.25,
E367,7718-51-6,C(=C/C(=O)[O-])\C(=O)[O-].[Ca+2],False,Match (E367),154.13,
E368,14548-85-7,C(=C/C(=O)[O-])\C(=O)[O-].[NH4+].[NH4+],False,Match (E368),150.13,
E369,1222-66-8,CC(C(=O)O)N,False,Match (E639),89.09,-3.0
E370,Unknown,,True,No Match,,
E375,59-67-6,C1=CC(=CN=C1)C(=O)O,False,Match (Nicotinic acid),123.11,0.4
E380,3458-72-8,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[NH4+].[NH4+].[NH4+],False,Match (Triammonium citrate),243.22,
E381,1185-57-5,C(C(=O)O)C(CC(=O)O)(C(=O)O)O.N.[Fe+3],False,Match (ferric ammonium citrate),265.0,
E383,27214-00-2,C(C(CO)OP(=O)([O-])[O-])O.[Ca+2],False,Match (calcium glycerophosphate),210.14,
E384,Unknown,,True,No Match,,
E385,62-33-9,C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Ca+2],False,Match (E385),374.27,
E388,111-17-1,C(CSCCC(=O)O)C(=O)O,False,Match (E388),178.21,-0.1
E391,83-86-3,C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O,False,Match (E391),660.04,-10.3
E392,Unknown,,True,No Match,,
E399,110638-68-1,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C(=O)[O-])O)O)O)O)O)O.C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C(=O)[O-])O)O)O)O)O)O.O.O.[Ca+2],False,Match (Calcium lactobionate),790.7,
E400,Unknown,C1(C(C(OC(C1OC2C(C(C(C(O2)C(=O)O)P)O)O)C(=O)O)OP)O)O,False,Match (E400),418.23,-4.0
E401,Unknown,,True,No Match,,
E402,Unknown,,True,No Match,,
E403,Unknown,,True,No Match,,
E404,Unknown,,True,No Match,,
E405,Unknown,CC1C(C(C(OC1C(=O)OCC(C)O)OC2C(C(C(OC2C(=O)O)OC)O)O)O)O,False,Match (E405),440.4,-2.8
E406,9002-18-0,CC1[C@H]([C@H]2C(C(O1)CO2)OC3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)OC)O)O,False,Match (agar),336.33,-2.2
E407,Unknown,,True,No Match,,
E407A,Unknown,,True,No Match,,
E408,Unknown,,True,No Match,,
E409,Unknown,,True,No Match,,
