unique_key,cas_number,smiles,is_complex_mixture,match_method,mw,xlogp
E1518,102-76-1,CC(=O)OCC(COC(=O)C)OC(=O)C,False,Match (E1518),218.2,0.2
E1519,100-51-6,C1=CC=C(C=C1)CO,False,Match (E1519),108.14,1.1
E152,2118-39-0,C1=CC(=CC=C1N=NC2=C3C=CC(=CC3=C(C=C2)N=NC4=C(C5=CC(=C(C=C5C=C4S(=O)(=O)[O-])S(=O)(=O)[O-])N)O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],False,Match (Black 7984),825.7,
E1520,57-55-6,CC(CO)O,False,Match (E1520),76.09,-0.9
E1521,Unknown,,True,No Match,,
E153,Unknown,C1CSC2C3C1CC4=CC5=C6C7=C(C=C8C9=C7C1=C7C%10C%11C%12=C1C6=C4C3C%12=C1C2=CC2=C3C1=C%11C1=C4C%10=C6C%10=C7C9=C(C=C%10C(=O)C7=CC(=C9C=C%10C=C%11C=CC%12=C%13C%11=C(C%10=C4C9=C76)C1=C3C%13=C(O2)C=C%12)C(=O)O)C(=O)C8=O)OC5,False,Match (Vegetable carbon),1035.0,14.9
E154,8062-14-4,CC1=CC(=C(C=C1N)N)N=NC2=CC=C(C=C2)S(=O)(=O)[O-].C1=CC(=CC=C1N=NC2=CC(=C(C=C2N)N)N=NC3=CC=C(C=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],False,Match (Brown FK),848.8,
E155,Unknown,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)O)N/N=C\3/C=C(C(=O)/C(=N\NC4=CC=C(C5=CC=CC=C54)S(=O)(=O)O)/C3=O)CO,False,Match (E155),608.6,3.3
E15X,Unknown,C1CSC2C3C1CC4=CC5=C6C7=C(C=C8C9=C7C1=C7C%10C%11C%12=C1C6=C4C3C%12=C1C2=CC2=C3C1=C%11C1=C4C%10=C6C%10=C7C9=C(C=C%10C(=O)C7=CC(=C9C=C%10C=C%11C=CC%12=C%13C%11=C(C%10=C4C9=C76)C1=C3C%13=C(O2)C=C%12)C(=O)O)C(=O)C8=O)OC5,False,Match (CI 77266),1035.0,14.9
E160,36-88-4,CC1=C(C(C[C@@H](C1)O)(C)C)C#C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C(=O)/C=C\2/[C@](C[C@H](CC2(C)C)O)(C)O)/C)/CO,False,Match (Carotenoids),614.9,7.2
E160A,7235-40-7,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(CCCC2(C)C)C)\C)\C)/C)/C,False,Match (E160A),536.9,13.5
E160AI,Unknown,,True,No Match,,
E160AII,Unknown,,True,No Match,,
E160AIII,Unknown,,True,No Match,,
E160AIV,Unknown,,True,No Match,,
E160B,6983-79-5,C/C(=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C/C(=O)OC)/C=C/C=C(\C)/C=C/C(=O)O,False,Match (E160B),394.5,7.5
E160BI,Unknown,,True,No Match,,
E160BII,Unknown,,True,No Match,,
E160C,Unknown,,True,No Match,,
E160D,502-65-8,CC(=CCC/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C=C(/CCC=C(C)C)\C)\C)\C)/C)/C)/C)C,False,Match (E160D),536.9,15.6
E160E,1107-26-2,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=O)/C)/C,False,Match (E160E),416.6,9.4
E160F,Unknown,,True,No Match,,
E161,Unknown,,True,No Match,,
E161A,512-29-8,CC1=C[C@@H](CC([C@H]1/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/[C@H]2C=C3[C@](O2)(C[C@H](CC3(C)C)O)C)/C)/C)(C)C)O,False,Match (Flavoxanthin),584.9,10.1
E161B,127-40-2,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/[C@H]2C(=C[C@@H](CC2(C)C)O)C)/C)/C,False,Match (lutein),568.9,11.0
E161C,472-70-8,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C2=C(C[C@H](CC2(C)C)O)C)/C)/C,False,Match (Cryptoxanthin),552.9,12.3
E161D,3763-55-1,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C=C(\C)/CCC=C(C)C)/C)/C,False,Match (E161D),552.9,13.2
E161E,126-29-4,C/C(=C\C=C\C=C(\C=C\C=C(\C=C\[C@@]12O[C@@]1(C[C@H](CC2(C)C)O)C)/C)/C)/C=C/C=C(/C=C/[C@@]34O[C@@]3(C[C@H](CC4(C)C)O)C)\C,False,Match (Violaxanthin),600.9,9.8
E161F,116-30-3,CC\1=CC(=O)CC(/C1=C\C=C(\C=C\C=C(\C=C\C=C\C(=C\C=C\C(=C\C=C\2/C(CC(=O)C=C2C)(C)C)\C)\C)/C)/C)(C)C,False,Match (Rhodoxanthin),562.8,10.5
E161G,514-78-3,CC1=C(C(CCC1=O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C(=O)CCC2(C)C)C)\C)\C)/C)/C,False,Match (E161G),564.8,11.4
E161H,144-68-3,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C[C@H](CC2(C)C)O)C)\C)\C)/C)/C,False,Match (Zeaxanthin),568.9,10.9
E161I,3604-90-8,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C(=O)C)/C)/C,False,Match (Citranaxanthin),456.7,10.5
E161J,472-61-7,CC1=C(C(C[C@@H](C1=O)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C(=O)[C@H](CC2(C)C)O)C)\C)\C)/C)/C,False,Match (E161J),596.8,10.3
E162,Unknown,C1[C@H](N=C(C=C1/C=C/N2[C@@H](CC3=CC(=C(C=C32)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)C(=O)[O-])C(=O)O)C(=O)[O-],False,Match (E162),548.5,0.0
E163,14051-53-7,C1=CC=C(C=C1)C2=[O+]C3=CC=CC=C3C=C2,False,Match (Anthocyanin),207.25,
E163A,13306-05-3,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O,False,Match (Cyanidin),287.24,
E163B,13270-61-6,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O,False,Match (Delphinidin),303.24,
E163C,10463-84-0,COC1=CC(=CC(=C1O)OC)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O,False,Match (Malvidin),331.3,
E163D,7690-51-9,C1=CC(=CC=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O,False,Match (Pelargonidin),271.24,
E163E,134-01-0,COC1=C(C=CC(=C1)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O.[Cl-],False,Match (Peonidin),336.72,
E163F,1429-30-7,COC1=CC(=CC(=C1O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O.[Cl-],False,Match (Petunidin),352.72,
E164,Unknown,,True,No Match,,
E165,Unknown,,True,No Match,,
E166,Unknown,C/C(=C/CC[C@@]1(C2CC3C1(C3C2)C)C)/CO,False,Match (Sandal),220.35,4.0
E170,471-34-1,C(=O)([O-])[O-].[Ca+2],False,Match (E170),100.09,
E170I,471-34-1,C(=O)([O-])[O-].[Ca+2],False,Match (Calciumcarbonat),100.09,
E170II,Unknown,,True,No Match,,
E171,13463-67-7,O=[Ti]=O,False,Match (E171),79.866,
E172,Unknown,,True,No Match,,
E172I,1317-61-9,O=[Fe].O=[Fe]O[Fe]=O,False,Match (Black iron oxide),231.53,
E172II,Unknown,,True,No Match,,
E172III,Unknown,,True,No Match,,
E173,7429-90-5,[Al],False,Match (Aluminio),26.981538,
E174,14701-21-4,[Ag+],False,Match (E174),107.868,
E175,7440-57-5,[Au],False,Match (Or),196.96657,
E180,16014-23-6,CC1=CC(=C(C=C1)N=NC2=C(C(=CC3=CC=CC=C32)C(=O)O)O)S(=O)(=O)O,False,Match (E180),386.4,3.8
E181,Unknown,C1[C@@H]2[C@@H]3[C@@H]([C@H]([C@@H](O2)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C6=C5C7C(=CC(=O)C(C7(O6)O)(O)O)C(=O)O3)O)O)OC(=O)C8=CC(=C(C(=C8C9=C(C(=C(C=C9C(=O)O1)OC1=C(C(=C(C=C1C(=O)O)O)O)O)O)O)O)O)O,False,Match (E181),1120.7,-0.2
E182,1400-62-0,CC1=CC(=CC(=C1NC2=C(C3=C(C=C2O)OC4=CC(=O)C(=NC5=C(C=C(C=C5C)O)O)C(=C43)C)C)O)O,False,Match (Orcein),500.5,3.9
E200,110-44-1,C/C=C/C=C/C(=O)O,False,Match (E200),112.13,1.3
E201,7757-81-5,C/C=C/C=C/C(=O)[O-].[Na+],False,Match (Sodium sorbate),134.11,
E202,24634-61-5,C/C=C/C=C/C(=O)[O-].[K+],False,Match (Potassium sorbate),150.22,
E203,Unknown,C/C=C/C=C/C(=O)[O-].C/C=C/C=C/C(=O)[O-].[Ca+2],False,Match (Calciumsorbat),262.31,
E209,Unknown,C1CC2(CCC1C3=CC=C(C=C3)OCCN4CCC(CC4)F)OOC5(C6CC7CC(C6)CC5C7)OO2,False,Match (E209),501.6,5.9
E210,65-85-0,C1=CC=C(C=C1)C(=O)O,False,Match (E210),122.12,1.9
E211,532-32-1,C1=CC=C(C=C1)C(=O)[O-].[Na+],False,Match (E211),144.1,
E212,582-25-2,C1=CC=C(C=C1)C(=O)[O-].[K+],False,Match (E212),160.21,
E213,2090-05-3,C1=CC=C(C=C1)C(=O)[O-].C1=CC=C(C=C1)C(=O)[O-].[Ca+2],False,Match (E213),282.3,
E214,120-47-8,CCOC(=O)C1=CC=C(C=C1)O,False,Match (E214),166.17,2.5
E215,Unknown,CCOC(=O)C1=CC=C(C=C1)[O-].[Na+],False,Match (E215),188.16,
E216,94-13-3,CCCOC(=O)C1=CC=C(C=C1)O,False,Match (Propylparaben),180.2,3.0
E217,35285-69-9,CCCOC(=O)C1=CC=C(C=C1)[O-].[Na+],False,Match (E217),202.18,
E218,99-76-3,COC(=O)C1=CC=C(C=C1)O,False,Match (E218),152.15,2.0
E219,5026-62-0,COC(=O)C1=CC=C(C=C1)[O-].[Na+],False,Match (Sodium methyl p-hydroxybenzoate),174.13,
E220,7446-09-5,O=S=O,False,Match (E220),64.07,0.1
E221,7757-83-7,[O-]S(=O)[O-].[Na+].[Na+],False,Match (Natriumsulfit),126.05,
E222,7631-90-5,OS(=O)[O-].[Na+],False,Match (E222),104.06,
E223,7681-57-4,[O-]S(=O)S(=O)(=O)[O-].[Na+].[Na+],False,Match (E223),190.11,
E224,16731-55-8,[O-]S(=O)S(=O)(=O)[O-].[K+].[K+],False,Match (Potassium metabisulphite),222.33,
E225,10117-38-1,[O-]S(=O)[O-].[K+].[K+],False,Match (E225),158.26,
E226,244021-67-8,C1=CC=C2C(=C1)C(=O)C(=N2)C3=C(NC4=C3C=C(C=C4)S(=O)(=O)O)O,False,Match (E226),342.3,1.5
E227,13780-03-5,OS(=O)[O-].OS(=O)[O-].[Ca+2],False,Match (Calciumhydrogensulfit),202.2,
E228,7773-03-7,OS(=O)[O-].[K+],False,Match (Potassium bisulphite),120.17,
E230,92-52-4,C1=CC=C(C=C1)C2=CC=CC=C2,False,Match (E230),154.21,4.0
E231,90-43-7,C1=CC=C(C=C1)C2=CC=CC=C2O,False,Match (E231),170.21,3.1
E232,6152-33-6,C1=CC=C(C=C1)C2=CC=CC=C2[O-].O.O.O.O.[Na+],False,Match (E232),264.25,
E233,148-79-8,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,False,Match (E233),201.25,2.5
E234,1414-45-5,CCC(C)C1C(=O)NC(=C)C(=O)NC(C(=O)NC(CSCC(C(=O)N1)NC(=O)/C(=C/C)/NC(=O)C(C(C)CC)N)C(=O)NC2C(SCC(NC(=O)CNC(=O)C3CCCN3C2=O)C(=O)NC(CCCCN)C(=O)NC4C(SCC(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC4=O)C)CC(C)C)CCSC)C(=O)NC(CC(=O)N)C(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC5C(SCC6C(=O)NC(C(=O)NC(CSC(C(C(=O)N6)NC(=O)C(NC5=O)C)C)C(=O)NC(CO)C(=O)NC(C(C)CC)C(=O)NC(CC7=CN=CN7)C(=O)NC(C(C)C)C(=O)NC(=C)C(=O)NC(CCCCN)C(=O)O)CC8=CN=CN8)C)C)C)CC(C)C,False,Match (E234),3354.1,-6.1
E235,891894-69-2,C1CN(CCC1NC(=O)C2=CC3=C(C=C2)N4C=C(N=C4S3)C5=CC=C(C=C5)F)CC6=CC=CC=C6,False,Match (E235),484.6,6.4
E236,64-18-6,C(=O)O,False,Match (E236),46.025,-0.2
E237,141-53-7,C(=O)[O-].[Na+],False,Match (E237),68.007,
E238,544-17-2,C(=O)[O-].C(=O)[O-].[Ca+2],False,Match (E238),130.11,
E239,100-97-0,C1N2CN3CN1CN(C2)C3,False,Match (E239),140.19,0.3
E240,50-00-0,C=O,False,Match (E240),30.026,1.2
E241,Unknown,,True,No Match,,
E242,616-38-6,COC(=O)OC,False,Match (E242),90.08,0.5
E243,48076-74-0,CCCCCCCCCCCC(=O)N[C@@H](CCCN=C(N)N)C(=O)OCC,False,Match (Ethyl lauroyl arginate),384.6,4.2
E246,85187-10-6,CCCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)(O)OCC[N+](C)(C)C)NC=O)O,False,Match (Glycolipids),493.6,5.0
E249,7758-09-0,N(=O)[O-].[K+],False,Match (E249),85.104,
E250,7632-00-0,N(=O)[O-].[Na+],False,Match (E250),68.995,
E251,7631-99-4,[N+](=O)([O-])[O-].[Na+],False,Match (Natriumnitrat),84.995,
E252,7757-79-1,[N+](=O)([O-])[O-].[K+],False,Match (E252),101.103,
E260,64-19-7,CC(=O)O,False,Match (E260),60.05,-0.2
