product_name,categories_tags,countries_en,ingredients_text,additives_tags
"Bacon & cheddar potato skins, bacon & cheddar",en:frozen-foods,United States,"Potato shell (potato, soybean oil), cheese sauce (water, cultured milk, canola oil, cream, whey, modified food starch [tapioca and corn], sodium phosphates, [cheddar cheese {pasteurized milk, culture, salt, enzymes}, water, disodium phosphate, natural flavors, anhydrous butter oil and xanthan gum], salt, lactic acid, sorbic acid [preservative], apocarotenal color, enzymes), water, cheddar cheese (pasteurized cultured milk, salt, enzymes, annatto and anti caking agents), bacon (bacon cured with water, salt, sodium erythorbate, sodium nitrite. may contain: sugar, smoke flavoring, sodium phosphate), cheddar cheese blend ([whey, cheddar cheese {milk, salt, cheese cultures, enzymes}, maltodextrin, buttermilk, salt, canola oil, disodium phosphate, lactic acid], maltodextrin, modified food starch, whey protein concentrate, salt, soybean oil, lactic acid, annatto extract [color], calcium & sodium phosphate, natural flavor, yeast extract, xanthan gum, sodium alginate, buttermilk, nonfat dry milk, whey, dextrin, sugar, calcium lactate, onion powder).","en:e1400,en:e200,en:e250,en:e270,en:e316,en:e327,en:e339ii,en:e401,en:e415"
"All natural ice cream, vanilla fudge","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, sugar, fudge swirl (sugar, water, cocoa, cornstarch, carrageenan, vanilla & natural flavor) natural vanilla flavor.",en:e407
"All natural ice cream, peach","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, sugar, peaches (peaches, sugar, citric acid, ascorbic acid and salt to prevent browning) natural flavoring.",en:e330
"All natural bits-o-cookie ice cream, bits-o-cookie","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, sugar, cookies (sugar, enriched wheat flour, vegetable oil [one or more of soy, palm, palm kernel], cocoa processed with alkali, corn flour, salt, baking soda, soy lecithin, natural flavor), natural vanilla flavor.","en:e322,en:e322i,en:e500,en:e500ii"
Ice cream,"en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, sugar, caramel swirl (corn syrup, sugar, water, nonfat dry milk, butter, molasses, salt, pectin), praline pecans (sugar, pecans, butter, corn syrup, salt), vanilla extract.",en:e440
"Breaded popcorn shaped white meat chicken patties, popcorn chicken",en:frozen-foods,United States,"Chicken breast with rib meat, water, wheat flour, bleached wheat flour, soy protein concentrate, salt, modified corn starch, dextrose, natural flavors, sodium phosphates, extractives of paprika, spice extractives, leavening (sodium bicarbonate, sodium aluminum phosphate), extractives of annatto, wheat starch, mono and diglycerides, yeast.","en:e160b,en:e471,en:e500,en:e500ii,en:e541"
Chicken breast tenders breaded tender shaped white meat chicken patties,en:frozen-foods,United States,"Chicken breast with rib meat, water, wheat flour, bleached wheat flour, soy protein concentrate, salt, modified corn starch, dextrose, natural flavors, sodium phosphates, extractives of paprika, spice extractives, leavening (sodium bicarbonate, sodium aluminum phosphate), extractives of annatto, wheat starch, mono and diglycerides, yeast.","en:e160b,en:e471,en:e500,en:e500ii,en:e541"
"Assorted pasteurized fun pops, grape, orange, blue punch, pina colada, banana, lemon-lime, peach, green apple, cherry, mango, watermelon and strawberry","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Water, high fructose corn syrup, citric acid, natural and artificial flavoring, artificial coloring, (may contain: blue 1, green 3, red 40, yellow 5 and yellow 6), gum acacia, less than 1/10th of 1% of sodium benzoate and potassium sorbate as a preservative.","en:e102,en:e110,en:e129,en:e133,en:e143,en:e330,en:e414"
Fun pops,"en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Water, high fructose corn syrup, citric acid, natural and artificial flavoring, artificial coloring (may contain red 40, blue 1, green 3, yellow 6 & yellow 5), gum acacia, less than 1/10th of 1% of: potassium sorbate and sodium benzoate as preservatives.","en:e102,en:e110,en:e129,en:e133,en:e143,en:e330,en:e414"
"Ice cream, egg nog","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, sugar, egg yolks, natural flavors, nutmeg, annatto and turmeric colors.","en:e100,en:e160b"
"Peppermint bark ice cream, peppermint bark","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, sugar, peppermint fudge bark (sugar, coconut oil, corn syrup, cocoa processed with alkali, natural cocoa, butter fat, nonfat dry milk, soy lecithin [emulsifier], natural flavors, radish color), high fructose corn syrup, corn syrup, peppermint candy (sugar, corn syrup, coconut oil, vegetable juice color, natural flavor, soy lecithin [emulsifier]), whey, nonfat dry milk, guar gum, mono - and diglycerides, cellulose gum, polysorbate 80, carrageenan, locust bean gum, natural mint flavor.","en:e322,en:e322i,en:e407,en:e410,en:e412,en:e433,en:e466,en:e471"
Black forest cake chocolate ice cream with cherry swirl & chocolate cake pieces,"en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, sugar, black cherry swirl (sugar, cherries, water, corn syrup, modified corn starch, cherry and lemon juice concentrate, natural flavor, vegetable juice color), carrageenan, sodium benzoate and potassium sorbate (preservatives]), chocolate cake pieces (enriched wheat flour wheat, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, sugar, soy and/or palm oils, corn syrup, cocoa, whey protein concentrate, molasses, salt, sodium bicarbonate, natural flavor, ammonium bicarbonate), cocoa processed with alkali, chocolate liquor, egg yolks, cocoa powder, natural flavors, salt, potassium sorbate (preservative).","en:e202,en:e211,en:e407,en:e503,en:e503ii"
Double coconut & almonds rich coconut ice cream with almonds,"en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream sugar, coconut base (sugar, water, creamed coconut [sulphited], corn syrup, xanthan gum, mono - and diglycerides, potassium sorbate [preservative], phosphoric acid), almonds (almonds, peanut and/or cottonseed oil, butter, salt), egg yolks, natural coconut flavor.","en:e202,en:e338,en:e415,en:e471"
Vanilla ice cream with chocolate-coated sundae waffle cone pieces & peanuts,"en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, sugar, caramel fudge sauce (fructose, milk, salt, modified corn starch, sodium citrate, mono - and diglycerides, locust bean gum, sugar, caramel color, natural and artificial flavors, potassium sorbate [preservative]), waffle cone blend (confectionery coating [sugar, coconut oil, alkalized and natural cocoa, milkfat, soy lecithin, natural flavor], peanuts, cones (bleached wheat flour, sugar, soybean oil, partially hydrogenated soybean and/or cottonseed oils, salt]), egg yolks, natural and artificial flavor, annatto color.","en:e150c,en:e202,en:e322,en:e322i,en:e331,en:e410,en:e471"
"Chocolate cinnamon & fudge ice cream, chocolate cinnamon & fudge","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, sugar, chocolate fudge swirl (high fructose corn syrup, corn syrup, water, cocoa processed with alkali, partially hydrogenated coconut oil, modified corn starch, sugar, nonfat milk, salt, soy lecithin, potassium sorbate [preservative], citric acid, vanillin, mono - and diglycerides), egg yolks, corn syrup, high fructose corn syrup, cocoa processed with alkali, sugar, cocoa, cinnamon, salt, molasses, potassium sorbate and sodium benzoate (preservatives), natural flavor.","en:e202,en:e211,en:e322,en:e322i,en:e330,en:e471"
Red raspberry & fudge ice cream with chocolate swirl & chocolate flakes,"en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, sugar, chocolate fudge swirl (high fructose corn syrup, corn syrup, water, cocoa processed with alkali, partially hydrogenated coconut oil, modified corn starch, sugar, nonfat milk, salt, soy lecithin, potassium sorbate [preservative], citric acid, vanillin, mono - and diglycerides), red raspberry puree (seedless red raspberries, corn syrup, water, sugar, modified corn starch, citric acid, sodium benzoate [preservative], fd&c red #40, artificial flavor), chocolate flakes (sugar, corn starch, coconut oil, cocoa processed with alkali, cocoa butter oil, soy lecithin, natural flavor), egg yolks.","en:e129,en:e202,en:e211,en:e322,en:e322i,en:e330,en:e471"
Cheesecake ice cream with strawberry sauce swirl,"en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, sugar, strawberry swirl (water, high fructose corn syrup, corn syrup, strawberry puree, modified corn starch, citric acid, salt, xanthan gum, locust bean gum, artificial flavor, fd&c red #40, sodium benzoate [preservative]), cheesecake base (invert sugar, high fructose corn syrup, cream cheese [pasteurized cultured milk and cream, salt, xanthan and/or carob and/or guar gums, natural and artificial flavors, citric acid, salt, water, potassium sorbate and sodium benzoate {preservatives}]), egg yolks, annatto color.","en:e129,en:e202,en:e211,en:e330,en:e410,en:e412,en:e415"
Vanilla ice cream with chocolate & perfect peanut butter swirl & chopped peanut butter cup candy,"en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, sugar, chocolate swirl (high fructose corn syrup, water, dextrose, corn syrup, butter, nonfat dry milk, cocoa processed with alkali, pectin, salt, soy lecithin, sodium citrate, potassium sorbate [preservative]), peanut butter (peanuts, peanut oil, dextrose, salt, mono - and diglycerides [emulsifiers]), chocolate peanut butter cups (milk chocolate [sugar, cocoa butter, chocolate, nonfat milk, lactose, soy lecithin and pgpr {emulsifiers}], peanuts, sugar, dextrose, salt, tbhq [preservative]), egg yolks, natural and artificial vanilla flavor, annatto color.","en:e202,en:e319,en:e322,en:e322i,en:e331,en:e440,en:e471,en:e476"
Chocolate ice cream with red velvet cake dough pieces,"en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, cream, sugar, red velvet cake dough (wheat flour, sugar, palm oil, water, enriched wheat flour (wheat, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, cocoa processed with alkali, fructose, natural and artificial flavors, corn syrup solids, soybean oil, salt, high fructose corn syrup, corn syrup, corn flour, corn starch, fd&c red #40, dextrose, sodium bicarbonate, soy lecithin), cocoa processed with alkali, chocolate liquor, egg yolks, natural flavor, salt, glycerol monostearate, potassium sorbate and sodium benzoate (preservatives), fd&c red #40, citric acid.","en:e129,en:e202,en:e211,en:e322,en:e322i,en:e330,en:e500,en:e500ii"
Pita sliders snack sandwiches,en:frozen-foods,United States,"Beef (bread crumbs [bleached wheat flour and yeast], salt, spices, natural flavors, soybean oil, water, caramel color), pocket bread (wheat flour, water, sunflower oil [rosemary extract and vitamin e], yeast, sugar, salt, calcium propionate, enzymes, fumaric acid), cheese ([milk, cheese culture, salt, enzymes, water, cream] seasonings [salt, maltodextrin, yogurt, vinegar, natural flavors, garlic, spices, soybean oil, titanum dioxide], sodium phosphate, skim milk, sorbic acid).","en:e150c,en:e200,en:e282,en:e297"
"Premium appetizers, bacon wrapped filet mignon",en:frozen-foods,United States,"Beef, bacon (cured with water, salt, sugar, smoke flavoring, sodium phosphate, sodium erythorbate, sodium nitrite), teriyaki glaze (naturally brewed soy sauce [water, wheat, soybeans, salt], sugar, water, modified food starch, onion juice, vinegar, natural flavor, garlic powder, malic acid, spices, disodium inosinate, disodium guanylate, sodium benzoate less than 0.1 of 1% as a preservative).","en:e250,en:e296,en:e316,en:e627,en:e631"
"Premium profiterole appetizers, mushroom",en:frozen-foods,United States,"Filling: mushroom, cream cheese (pasteurized cultured milk and cream, salt, stabilizers [xanthan and/or carob bean and/or guar gums]), walnuts, onion, butter (cream, salt), sherry (sherry wine, salt, potassium metabisulfite [a preservative]), parsley, salt, thyme profiterole shell: water, eggs, wheat flour enriched (niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, malted barley flour), butter, salt.","en:e224,en:e412"
Crab Rangoon,en:frozen-foods,United States,"Wonton wrappers (wheat flour, water, cornstarch, salt, eggs, fd&c yellow 5 and yellow 6, less than 1/10 of 1% sodium benzoate as a preservative), cream cheese (pasteurized cultured milk and cream, salt, stabilizers [xanthan and/or carob bean and/or guar gums]), rock crab meat (crab, water, salt), oil (88% canola oil, 1% grapeseed oil, 1% safflower oil), water, sugar, soy sauce (water, wheat, soybeans, salt, less than 1/10 of 1% sodium benzoate as a preservative), cornstarch, scallions, garlic, xanthan gum, pepper.","en:e102,en:e110,en:e412,en:e415"
Korean style beef with white rice,en:frozen-foods,United States,"Cooked rice (water, rice (enriched long grain parboiled rice, iron (ferric orthophosphate), niacin, thiamin {thiamin mononitrate}, and folic acid], salt), water, beef an starch steak strip (beef, water, less than 2% of corn starch, salt, natural flavor, spice), broccoli, grilled onion, soy sauce (water, soybeans, wheat, salt, alcohol [to preserve freshness]), brown sugar, onion, canola oil, honey, modified food starch, salt, sesame oil, garlic, onion powder, black pepper, xanthan gum.",en:e415
Beef & Broccoli With White Rice,en:frozen-foods,United States,"Cooked rice (water, rice [enriched long grain parboiled rice, iron [ferric orthophosphate], niacin, thiamin {thiamin mononitrate}, and folic acid], salt), water, broccoli, beef and starch steak strips (beef, water less than 2% corn starch, salt, natural flavor, spice), oyster flavored sauce (water, sugar, salt, oyster extractives, monosodium glutamate as a flavor enhancer, modified corn starch, wheat flour, caramel color), soy sauce (water, soybeans, wheat, salt, alcohol [to preserve freshness]), modified food starch, canola oil, sugar, sherry wine, salt, garlic, onion powder, spices.",en:e150c
General tso's chicken with white rice,en:frozen-foods,United States,"Cooked rice (water, rice [enriched long grain parboiled rice, iron {ferric orthophosphate), niacin, thiamin {thiamin mononitrate), and folic acid], salt), chicken (white meat chicken, water, modified food starch, isolated soy protein, salt & sodium phosphates), broccoli, bell peppers, sugar, brown sugar, ketchup (tomato concentrate [water, tomato paste], sugar, vinegar, salt, onion powder, spices), vinegar, canola oil, modified food starch, tomato paste, sherry wine, salt, chili paste (salt, distilled vinegar, potassium sorbate, sodium bisulfite, xanthan gum, chili pepper), crushed red pepper.","en:e202,en:e222,en:e415"
Sesame Chicken With Vegetable Fried Rice,en:frozen-foods,United States,"Water, chicken (white meat chicken, water, modified food starch, isolated soy protein, salt & sodium phosphates), rice (enriched long grain parboiled rice, iron [ferric orthophosphate], niacin, thiamin [thiamin mononitrate], and folic acid), peas & carrots, soy sauce (water, wheat, soybeans, salt, lactic acid), scrambled eggs (whole eggs, nonfat milk, soybean oil, modified food starch, salt, xanthan gum, citric acid, butter flavor [maltodextrin, natural butter flavor, annatto and turmeric {for color}], pepper), brown sugar, canola oil, green onions, onions, modified food starch, sesame oil, chicken base (salt, sugar, monosodium glutamate, chicken fat, dried sweet whey, corn starch, dextrose, and less than 2% of the following: onion powder, hydrolyzed soy protein, torula yeast, corn syrup solids, spice and coloring, natural flavorings and coloring, garlic powder, caramel color), sugar, garlic (garlic, citric acid), honey, sesame seeds, salt.","en:e150c,en:e270,en:e330,en:e415,en:e621"
"Smooth & creamy mocha almond fudge ice cream, mocha almond fudge","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Milk, sugar, corn syrup, cream, nonfat dry milk, whey powder, instant coffee, high fructose corn syrup, chocolate liquor, cocoa processed with alkali, butter, pectin, salt, soy lecithin, xanthan gum, natural flavors, almonds, palm kernel oil, vanilla flavor, propylene glycol monoester, mono - and diglycerides, guar gum, cellulose gum, carrageenan, potassium sorbate (preservative), caramel color, vitamin a palmitate.","en:e150c,en:e202,en:e322,en:e322i,en:e407,en:e412,en:e415,en:e440,en:e466,en:e471"
Moose tracks no sugar added smooth & creamy ice cream,"en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Nonfat milk, cream, no sugar added moose tracks fudge (peanut oil and/or cottonseed oil and/or palm oil, cocoa processed with alkali, maltodextrin, maltitol, sorbitol, cocoa, whey, salt, soy lecithin, natural flavor, sucralose, acesulfame potassium), nonfat dry milk, lactitol monohydrate, sugar-free peanut butter cups (peanut butter [peanuts, salt], coconut oil, lactitol, maltitol, cocoa processed with alkali, soy lecithin, vanilla extract), maltodextrin, propylene glycol monoester, mono - and diglycerides, guar gum, cellulose gum, carrageenan, vanilla extract, sucralose (non-nutritive sweetener), annatto color, vitamin a palmitate.","en:e322,en:e322i,en:e407,en:e412,en:e420,en:e466,en:e471,en:e950,en:e955,en:e965,en:e966"
Steamable Broccoli & Cheese,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:frozen-foods,en:frozen-plant-based-foods,en:frozen-vegetables",United States,"Broccoli, water, contains less than 2% of: annatto (vegetable color), butter oil, canola oil, cheddar cheese (pasteurized milk, cheese culture, salt, enzymes), cornstarch, cream, gelatin, lactic acid, maltodextrin, monterey jack cheese (pasteurized milk, cheese culture, salt, enzymes), natural flavor, palm oil, paprika (color), romano cheese (pasteurized cow's milk, cheese culture, salt, enzymes), salt, sodium alginate, sodium phosphate, soy lecithin, soybean oil, starter distillate, sugar, whey, whey protein concentrate, xanthan gum, yeast extract.","en:e160b,en:e270,en:e322,en:e322i,en:e401,en:e415,en:e428"
"Steamable Broccoli, Carrots, Cauliflower & Cheese","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:frozen-foods,en:frozen-plant-based-foods,en:frozen-vegetables",United States,"Broccoli, cauliflower, carrots, water, contains less than 2% of: annatto (vegetable color), butter oil, canola oil, cheddar cheese (pasteurized milk, cheese culture, salt, enzymes), corn starch, cream, gelatin, lactic acid, maltodextrin, monterey jack cheese (pasteurized milk, cheese culture, salt, enzymes), natural flavor, palm oil, paprika (color), romano cheese (pasteurized cow's milk, cheese culture, salt, enzymes), salt, sodium alginate, sodium phosphate, soy lecithin, soybean oil, starter distillate, sugar, whey, whey protein concentrate, xanthan gum, yeast extract.","en:e160b,en:e270,en:e322,en:e322i,en:e401,en:e415,en:e428"
Steamable brussels sprouts & butter,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:frozen-foods,en:frozen-plant-based-foods,en:frozen-vegetables",United States,"Brussels sprouts, water, contains less than 2% of: annatto (vegetable color), unsalted butter, cream, milkfat, modified food starch, gelatin, guar gum, mono - and diglycerides, natural flavor, salt, disodium phosphate, sugar, turmeric (color), xanthan gum.","en:e160b,en:e339ii,en:e412,en:e415,en:e428,en:e471"
Steamable Corn With Butter Sauce,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:frozen-foods,en:frozen-plant-based-foods,en:frozen-vegetables",United States,"Corn, water, contains less than 2% of: annatto (vegetable color), beta carotene (color), butter (pasteurized cream, salt), butter oil, enzyme modified butter, unsalted butter (pasteurized cream, natural flavors), cream, modified corn starch, gelatin, guar gum, mono and diglycerides, maltodextrin, milk, natural flavor, palm oil, partially hydrogenated soybean oil, salt, sodium phosphate, soybean oil, sugar, tocopherol, turmeric (color), vitamin a palmitate, wheat flour, whey, xanthan gum.","en:e160a,en:e160ai,en:e160b,en:e412,en:e415,en:e428,en:e471"
"Sugar snap peas, roasted red potato, red bell peppers with garlic herb seasoning garden style medley","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:frozen-foods,en:frozen-plant-based-foods,en:frozen-vegetables",United States,"Sugar snap peas, roasted red potatoes, red bell peppers, water, contains less than 2% of: flaxseed, garlic, modified cornstarch, natural flavor, parsley, salt, soybean oil, spice, sugar, xanthan gum.",en:e415
Vanilla ice cream sandwiches,"en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-sandwiches",United States,"Ice cream - milk, cream, sugar syrup, corn syrup, whey, buttermilk, maltodextrin, cellulose gel, mono - and diglycerides, guar gum, cellulose gum, locust bean gum, polysorbate 80, carrageenan, artificial flavor, sucralose. wafers - bleached wheat flour, sugar, caramel color, dextrose, palm oil, corn flour, cocoa, high fructose corn syrup, baking soda, modified corn starch, salt, mono - and diglycerides, soy lecithin.","en:e150c,en:e322,en:e322i,en:e407,en:e410,en:e412,en:e433,en:e466,en:e471,en:e500,en:e500ii,en:e955"
Mini ice cream sandwiches,"en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-sandwiches",United States,"Ice cream - milk, cream, corn syrup, sugar, whey, buttermilk, maltodextrin, cellulose gel, mono - and diglycerides, guar gum, locust bean gum, cellulose gum, polysorbate 80, carrageenan, natural and artificial flavors, sucralose wafers - bleached wheat flour, sugar, caramel color, dextrose, palm oil, corn flour, cocoa, high fructose corn syrup, baking soda, modified corn starch, salt, mono - and diglycerides, soy lecithin.","en:e150c,en:e322,en:e322i,en:e407,en:e410,en:e412,en:e433,en:e466,en:e471,en:e500,en:e500ii"
"Ice cream sandwiches, vanilla","en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-sandwiches",United States,"Ice cream - milk, cream, sugar syrup, corn syrup, whey, butter milk, maltodextrin, cellulose gel, mono - and diglycerides, guar gum, cellulose gum, locust gum, polysorbate 80, carrageenan, artificial flavor, sucralose wafers bleached wheat flour, sugar, caramel color, dextrose, palm oil, corn flour, cocoa, high fructose corn syrup, baking soda, modified corn starch, salt, mono-and diglycerides, soy lecithin.","en:e150c,en:e322,en:e322i,en:e407,en:e412,en:e433,en:e466,en:e471,en:e500,en:e500ii"
"Ice cream sandwiches, vanilla","en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-sandwiches",United States,"Ice cream - milk, cream, sugar syrup, corn syrup, whey, buttermilk, maltodextrin, cellulose gel, mono - and diglycerides, guar gum, cellulose gum, locust bean gum, polysorbate 80, carrageenan, artificial flavor, sucralose. wafers - bleached wheat flour, sugar, caramel color, dextrose, palm oil, corn flour, cocoa, high fructose corn syrup, baking soda, modified corn starch, salt, mono - and diglycerides, soy leicthin.","en:e150c,en:e407,en:e410,en:e412,en:e433,en:e466,en:e471,en:e500,en:e500ii,en:e955"
"Neapolitan chocolate, vanilla, strawberry ice cream sandwiches","en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-sandwiches",United States,"Ice cream - milk, cream, corn syrup, sugar, whey, buttermilk, maltodextrin, strawberries, cocoa processed with alkali, cellulose gel, mono - and diglycerides, guar gum, cellulose gum, locust bean gum, polysorbate 80, carrageenan, natural and artificial flavor, sucralose, citric acid, red 40, red 3, blue 1, yellow 6. wafers - bleached wheat flour, sugar, caramel color, dextrose, palm oil, corn flour, cocoa, high fructose corn syrup, baking soda, modified corn starch, salt, mono - and diglycerides, soy lecithin.","en:e110,en:e127,en:e129,en:e133,en:e150c,en:e322,en:e322i,en:e330,en:e407,en:e410,en:e412,en:e433,en:e466,en:e471,en:e500,en:e500ii,en:e955"
"Vanilla round ice cream sandwiches, vanilla","en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-sandwiches",United States,"Ice cream - milk, cream, corn syrup, sugar, whey, buttermilk, maltodextrin, cellulose gel, mono - and diglycerides, guar gum, natural and artificial flavors, locust bean gum, cellulose gum, polysorbate 80, carrageenan, sucralose, wafers - bleached wheat flour, sugar, caramel color, dextrose, palm oil, corn flour, cocoa, high fructose corn syrup, baking soda, modified corn starch, salt, mono - and diglycerides, soy lecithin.","en:e150c,en:e322,en:e322i,en:e407,en:e410,en:e412,en:e433,en:e466,en:e471,en:e500,en:e500ii,en:e955"
Chocolate chip ice cream sandwiches,"en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Ice cream - milk, cream, sugar syrup, corn syrup, whey, buttermilk, maltodextrin, cellulose gel, mono - and diglycerides, guar gum, cellulose gum, locust bean gum, polysorbate 80, carrageenan, natural and artificial flavor, sucralose. chips - sugar, chocolate liquor, cocoa butter, soy lecithin, natural flavor. wafers - bleached wheat flour, sugar, caramel color, dextrose, palm oil, corn flour, cocoa, high fructose corn syrup, baking soda, modified corn starch, salt, mono - and diglycerides, soy lecithin.","en:e150c,en:e322,en:e322i,en:e407,en:e410,en:e412,en:e433,en:e466,en:e471,en:e500,en:e500ii,en:e955"
"Vanilla chocolate chip cookie ice cream sandwiches, vanilla chocolate chip cookie","en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-sandwiches",United States,"Ice cream - milk, cream, sugar, corn syrup, whey, buttermilk, maltodextrin, cellulose gel, mono - and diglycerides, guar gum, cellulose gum, locust bean gum, polysorbate 80, carrageenan, natural and artificial flavor, sucralose. cookies - bleached wheat flour, sugar, vegetable shortening (partially hydrogenated soybean and cottonseed oils), chocolate chips (sugar, chocolate liquor, cocoa butter, anhydrous dextrose, soy lecithin [an emulsifier], salt, vanilla extract), corn syrup, baking soda, salt, molasses, natural and artificial flavors, soy lecithin, baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate).","en:e322,en:e322i,en:e341,en:e341i,en:e407,en:e410,en:e412,en:e433,en:e450,en:e450i,en:e466,en:e471,en:e500,en:e500ii,en:e955"
"Ice cream sandwiches, cookies & cream","en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-sandwiches",United States,"Ice cream - milk, cream, corn syrup, sugar, whey, buttermilk, maltodextrin, natural and artificial flavor, cellulose gel, mono - and diglycerides, guar gum, natural and artificial flavors, locust bean gum, cellulose gum, polysorbate 80, carrageenan, sucralose. wafers - bleached wheat flour, sugar, caramel color, dextrose, palm oil, corn flour, cocoa, high fructose corn syrup, baking soda, modified corn starch, salt, mono - and diglycerides, soy lecithin. cookie crunch - bleached wheat flour, sugar, caramel color, palm oil, cocoa, baking soda, salt, soy lecithin.","en:e150c,en:e322,en:e322i,en:e407,en:e410,en:e412,en:e433,en:e466,en:e471,en:e500,en:e500ii,en:e955"
"Assorted ice pops, grape, orange & cherry","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Water, sugar, contains less than 2% of citric acid, guar gum, xanthan gum, cellulose gum, natural and artificial flavors, yellow 6, red 40, blue 1.","en:e110,en:e129,en:e133,en:e330,en:e412,en:e415,en:e466"
"Strawberry fruit bars, strawberry","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Water, strawberries, strawberry puree, sugar syrup, corn syrup, natural flavor, citric acid, guar gum, locust bean gum, ascorbic acid, beet juice extract and turmeric (for color).","en:e330,en:e410,en:e412"
"Cherry & orange assorted ice pops, cherry & orange","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Water, sugar, high fructose corn syrup, citric acid, phosphoric acid, naturally and artificially flavored, propylene glycol, guar gum, locust bean gum, red 40, yellow 6, caramel color.","en:e110,en:e129,en:e150c,en:e1520,en:e330,en:e338,en:e410,en:e412"
"Banana ice pops, banana","en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-pops",United States,"Water, sugar syrup, corn syrup, propylene glycol, citric acid, ascorbic acid, phosphoric acid, artificial flavor, guar gum, locust bean gum, yellow 5.","en:e102,en:e1520,en:e330,en:e338,en:e410,en:e412"
"Fruit bars, orange","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Water, sugar syrup, corn syrup, orange juice from concentrate, citric acid, orange pulp, natural flavor, modified corn starch, malic acid, glycerol ester of wood rosin, gum arabic, guar gum, locust bean gum, brominated vegetable oil, ascorbic acid, yellow 5, red 40, yellow 6.","en:e102,en:e110,en:e129,en:e296,en:e330,en:e410,en:e412,en:e414,en:e443,en:e445"
Orange cream bars,"en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Nonfat sherbet - water, sugar syrup, milk* and skim milk*, corn syrup, orange pulp, concentrated orange juice, high fructose corn syrup, citric acid, natural flavors, locust bean gum, mono - and diglycerides*, methyl cellulose, guar gum, polysorbate 80*, pectin, yellow 6. ice cream - milk, cream, corn syrup, sugar, whey, buttermilk, maltodextrin, cellulose gel, mono - and diglycerides, guar gum, locust bean gum, cellulose gum, polysorbate 80, carrageenan, natural and artificial flavors, sucralose.","en:e110,en:e330,en:e407,en:e410,en:e412,en:e433,en:e440,en:e461,en:e466,en:e471,en:e955"
