product_name,categories_tags,countries_en,ingredients_text,additives_tags
"Cream puffs, vanilla","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Whipped dairy cream, sugar, eggs, water, enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid), palm oil, modified potato starch, carboxymethyl cellulose, bourbon vanilla flavor, soy lecithin.","en:e322,en:e322i,en:e466"
Rigatoni Bolognese,"en:frozen-foods,en:meals,en:frozen-ready-made-meals",United Kingdom,"Chopped Tomato [Tomato, Citric Acid], Passata, Rigatoni [Durum _Wheat_ Semolina, Water] (12%), Carrot, Chestnut Mushroom (5%), Button Mushroom (5%), Puy Lentil (5%), Sunblush Tomatoes, Red Wine, Onion [Onion, Rapeseed Oil], _Walnuts_ (2.9%), Garlic, Sunflower Seeds, _Celery_, Sundried Tomato, _Almonds_ (0.8%), Olive Oil, Tomato Paste, Applesauce, Yeast Flakes, Porcini Mushroom Powder, Lemon Juice, Sea Salt, Basil, Oregano, Dried Italian Herbs, Pepper",en:e330
Spicy Szechuan Noodles,"en:frozen-foods,en:meals,en:frozen-ready-made-meals",United Kingdom,"White Cabbage, Brown Rice Noodles (8%) [Brown Rice Flour, Water], Pak Choi (8%), Red Onion, Edamame [Soya] (8%), Chestnut Mushroom (7%), Roasted _Peanuts_ (4%) [Peanuts, Rapeseed Oil, Salt], _Soya_ Mince [_Soya_ Flour, Colour: Caramel] (4%), Water, Tamari [_Soya_ Beans, Water, Salt, Alcohol], Tahini (4%) (_Sesame_), Spring Onion (4%), Garlic, Maple Syrup, Rice Wine Vinegar, Ginger, Red Pepper Flakes, Sunflower Oil, Porcini Mushroom Powder, _Sesame_ Oil (_Soya_), Chilli Flakes, Pepper, Szechuan Pepper (0.1%)",en:e150
,"en:frozen-foods,en:meals,en:frozen-ready-made-meals",United Kingdom,"WATER, RIGATONI (16%) [DURUM WHEAT SEMOLINA, WATER], BROCCOLI (9%), RED PEPPER (7%), UNSWEETENED SOYA DRINK [WATER, SOYA BEANS, CALCIUM, NATURAL FLAVOURING, STABILISER: GELLAN GUM, VITAMINS (B2, B12, D2)] (6%), SHALLOTS, TEMPEH [SOYA BEANS, WATER, TEMPEH CULTURE (GLUTEN-FREE RICE FLOUR, INOCULUM)], GARLIC, WHITE MISO [WATER, SOYA BEANS, RICE, SALT], ONION [ONION, RAPESEED OIL), TOMATO PASTE, CASHEWS, YEAST FLAKES, GOCHUJANG (0.7%) [SOYA], SMOKED PAPRIKA (0.6%), TAMARI [SOYA], OLIVE OIL, STARCH, SUNFLOWER OIL, LEMON JUICE, MAPLE SYRUP, LIQUID SMOKE, CIDER VINEGAR, PEPPER, OREGANO, CORIANDER, DRIED CHIPOTLE CHILLI FLAKES, CUMIN, TURMERIC.",en:e418
Sundae Mix,"en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-tubs,en:sundae-ice-cream",France,"_Lait_ écrémé, sucre, _crème_, sirop de glucose, poudre de _lactosérum_ sucré, _lait_ écrémé en poudre, stabilisants (E412, E407), émulsifiant (E471), arôme de vanille.","en:e407,en:e412,en:e471"
Excellence 70% Cocoa Dark Chocolate,"en:seafood,en:frozen-foods,en:crustaceans,en:frozen-seafood,en:shrimps,en:cooked-shrimps",United States,"chocolate, sugar, cocoa butter, soy lecithin (emulsifier), bourbon vanilla beans","en:e322,en:e322i"
"Junior pops bars, cherry, grape & orange","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Water, sorbitol, maltodextrin, cellulose gum, citric acid, artificial flavors, aspartame, ascorbic acid, guar gum, locust bean gum, carrageenan, artificial color (may contain one or more of the following: annatto, turmeric, caramel, blue #1, red #3, red #40, yellow #5, yellow #6).","en:e102,en:e110,en:e127,en:e129,en:e133,en:e150,en:e160b,en:e330,en:e407,en:e410,en:e412,en:e420,en:e466,en:e951"
Ice Cream,"en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams",United States,"Skim milk, cream, sugar, strawberry pieces (sugar, water, citric acid, locust bean gum, xanthan gum, natural flavors), strawberry puree (strawberries, modified cornstarch, natural flavor, citric acid, red 40), corn syrup, high fructose corn syrup, whey, m","en:e129,en:e330,en:e410,en:e415"
"Ice cream, homestyle butter pecan","en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams",United States,"Milk, cream, liquid sugar, skim milk, corn syrup, pecans (pecans, cottonseed oil, butter [cream, salt], salt), butter pecan flavor (natural flavor, water, salt, soy sauce), mono - and diglycerides, guar gum, cellulose gum, carrageenan, dextrose, annatto (color).","en:e160b,en:e407,en:e412,en:e466,en:e471"
"Ice cream, homestyle vanilla","en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams",United States,"Milk, cream, liquid sugar, skim milk, corn syrup, natural flavor, mono - and diglycerides, guar gum, cellulose gum, carrageenan, dextrose, vanilla bean seeds.","en:e407,en:e412,en:e466,en:e471"
Cooked Shrimp,"en:seafood,en:frozen-foods,en:frozen-seafood",United States,"Cooked shrimp, sodium tripolyphosphate (to retain moisture), salt.","en:e452,en:e452vi"
Cooked shrimp,"en:seafood,en:frozen-foods,en:frozen-seafood",United States,"Cooked shrimp, sodium tripolyphosphate (to retain moisture), salt.","en:e452,en:e452vi"
Raw Shrimp,"en:seafood,en:frozen-foods,en:crustaceans,en:frozen-seafood,en:shrimps",United States,"Uncooked shrimp, sodium tripolyphosphate (for moisture retention), salt.","en:e452,en:e452vi"
